SKU,CategoryCode,SKUStatus,SupplierNumber
1251123,370,Pre Active,5446
1251131,370,Pre Active,5446
1251370,700,Discontinued,1677
1251388,700,Active,5446
1251602,370,Active,11661
1251610,370,Active,11661
1252410,700,Pre Active,5452
1252923,370,Active,94560
1253285,370,Active,16934
1255058,370,Active,5446
1255066,370,Active,5446
1258953,370,Active,1971
1259001,370,Active,3265
1259019,370,Active,3265
1259027,370,Active,3265
1259035,370,Active,3265
1259050,370,Active,3265
1259068,370,Active,3265
1259076,370,Active,3265
1259084,370,Active,3265
1259092,370,Active,3265
1259100,370,Active,3265
1259126,370,Active,3265
1259134,370,Active,3265
1259142,370,Active,3265
1259159,370,Active,3265
1259167,370,Active,3265
1270020,370,Active,51726
1270021,370,Active,51726
1270022,370,Active,51726
1270025,370,Discontinued,1771
1270037,370,Discontinued,1943
1270038,370,Pre Active,1771
1270041,370,Discontinued,1771
1270042,370,Discontinued,1771
1270044,370,Discontinued,1208
1270047,370,Discontinued,1771
1270048,370,Discontinued,1208
1270050,370,Discontinued,1771
1270054,370,Discontinued,1771
1270067,370,Discontinued,1771
1270069,370,Discontinued,1771
1270083,370,Discontinued,1208
1270088,450,Active,1771
1270089,370,Discontinued,1208
1270090,370,Discontinued,1208
1270099,370,Pre Active,5446
1270103,370,Discontinued,1208
1270248,370,Active,51726
1290006,370,Active,32025
1290008,200,Discontinued,60309
1290016,370,Discontinued,37145
1290017,370,Pre Active,1415
1290019,370,Pre Active,1415
1290020,370,Active,37145
1290021,370,Discontinued,37145
1290026,370,Discontinued,37145
1290029,370,Discontinued,37145
1290031,370,Pre Active,37145
1290062,370,Pre Active,1415
1290065,370,Pre Active,1415
1290066,370,Pre Active,37145
1290076,370,Discontinued,1052
1290078,370,Discontinued,1052
1290079,370,Discontinued,1052
1290082,370,Discontinued,1052
1290086,370,Discontinued,1052
1290090,370,Discontinued,1072
1290200,370,Discontinued,1072
1290201,370,Discontinued,1072
1290204,370,Discontinued,567
1290207,370,Discontinued,1052
1290210,370,Discontinued,2252
1290213,370,Discontinued,2252
1290214,370,Discontinued,2252
1290227,370,Discontinued,32025
1290229,370,Discontinued,11661
1290230,370,Active,11661
1290231,370,Active,11661
1290232,370,Active,11661
1290233,370,Active,11661
1290234,370,Active,11661
1290235,370,Active,11661
1290240,370,Active,5201
1290241,370,Active,5201
1290242,370,Active,5201
1290243,370,Active,5201
1290244,370,Active,5201
1290245,370,Active,5201
1290246,370,Discontinued,567
1290247,370,Discontinued,5201
1290248,370,Active,5201
1290249,370,Active,5201
1290250,370,Discontinued,1470
1290251,370,Active,5201
1290252,370,Active,5201
1290254,370,Discontinued,1470
1290255,370,Active,5201
1290256,370,Active,5201
1290257,370,Active,5201
1290258,370,Active,5201
1290259,370,Active,5201
1290260,370,Active,5201
1290262,370,Active,5201
1290263,370,Active,5201
1290264,370,Active,5201
1290265,370,Active,5201
1290266,370,Active,5201
1290267,370,Active,5201
1290268,370,Active,5201
1290269,370,Discontinued,1470
1290270,370,Active,5201
1290271,370,Discontinued,1470
1290272,370,Active,5201
1290273,370,Active,5201
1290274,370,Active,5201
1290275,370,Active,5201
1290277,370,Discontinued,1470
1290279,370,Discontinued,567
1290281,370,Discontinued,1470
1290282,370,Active,5201
1290283,370,Active,5201
1290284,370,Active,5201
1290285,370,Active,5201
1290286,370,Discontinued,1470
1290287,370,Discontinued,40514
1290288,370,Active,5201
1290289,370,Active,5201
1290290,370,Active,5201
1290291,370,Active,5201
1290292,370,Active,5201
1290293,370,Active,5201
1290294,370,Active,5201
1290295,370,Discontinued,40514
1290296,370,Active,5201
1290297,370,Active,5201
1290298,370,Active,5201
1290299,370,Active,5201
1290300,370,Active,5201
1290301,370,Active,5201
1290302,370,Active,5201
1290303,370,Discontinued,40514
1290304,370,Active,5201
1290305,370,Active,5201
1290307,370,Active,5201
1290308,370,Active,5201
1290309,370,Active,5201
1290310,370,Active,5201
1290312,370,Active,5201
1290313,370,Active,5201
1290314,370,Active,5201
1290315,370,Active,5201
1290317,370,Discontinued,1470
1290318,370,Active,5201
1290319,370,Discontinued,1470
1290320,370,Active,5201
1290321,370,Active,5201
1290322,370,Active,5201
1290325,370,Active,5201
1290326,370,Active,5201
1290327,370,Active,5201
1290329,370,Discontinued,40514
1290343,370,Active,30825
1290344,370,Active,30825
1290345,370,Discontinued,40514
1290347,370,Pre Active,37145
1290348,370,Active,32025
1290349,370,Active,32025
1290350,370,Pre Active,37145
1290353,370,Pre Active,1415
1290358,370,Active,5201
1290359,370,Active,5201
1290360,370,Discontinued,40514
1290361,370,Active,5201
1290362,370,Active,5201
1290365,370,Discontinued,1470
1290366,370,Active,5201
1290367,370,Active,5201
1290369,370,Active,5201
1290371,370,Active,5201
1290372,370,Discontinued,1052
1290373,370,Discontinued,1052
